agriculture,,,,,
,,,,guoxiang gu,http://www.ece.lsu.edu/ggu/ggu.html
,,,,amin kargarian,http://www.ece.lsu.edu/fac/Kargarian.html
,,,,David M. Koppelman,http://www.ece.lsu.edu/koppel/index.html
,,,,Xin (Shane) Li,http://www.ece.lsu.edu/xinli/index.htm
,,,,Xue-Bin Liang,http://www.ece.lsu.edu/liang/publications.html
,,,,Shahab Mehraeen,http://www.ece.lsu.edu/smehraeen/index.html
,,,,Mortﾠ Naraghi-Pour,http://www.ece.lsu.edu/mort/Research.html
,,,,Kidong Park,http://www.ece.lsu.edu/kidongp/index.html
,,,,Lu Peng,http://www.ece.lsu.edu/lpeng/wordpress/
,,,,Suresh Rai,http://www.ece.lsu.edu/fac/Rai.html
,,,,J. (Ram) Ramanujam,http://www.ece.lsu.edu/jxr/index.html
,,,,Ashok Srivastava,http://www.ece.lsu.edu/ashok/index.html
,,,,Jerry L. Trahan,http://www.ece.lsu.edu/trahan/pubs.html
,,,,R. (Vaidy) Vaidyanathan,http://www.ece.lsu.edu/vaidy/index.html
,,,,R. (Vaidy) Vaidyanathan,http://www.ece.lsu.edu/vaidy/r-int.html
,,,,R. (Vaidy) Vaidyanathan,http://www.ece.lsu.edu/vaidy/pubs.html
,,,,Georgios Veronis,http://www.ece.lsu.edu/gveronis/index.html
,,,,Shuangqing Wei,http://www.ece.lsu.edu/swei/index.html
,,,,Clive Woods,http://www.ece.lsu.edu/cwoods/index.htm
,,,,Hsiao-Chun Wu,http://www.ece.lsu.edu/wu/public_html/wu.html
,,,,Kemin Zhou,http://www.ece.lsu.edu/kemin/index.html
,,,,Xiangwei Zhou,http://www.ece.lsu.edu/xwzhou/
,computer science,ok,http://www.cse.lsu.edu/people/faculty,,
,,,,Bijaya B. Karki,http://csc.lsu.edu/~karki/
,,,,Gerald Baumgartner,http://csc.lsu.edu/~gb/
,,,,Konstantin Busch,http://csc.lsu.edu/~busch/
,,,,Doris Carver,http://www.cse.lsu.edu/people/faculty/facstaff/doris.carver
,,,,Feng Chen,http://www.csc.lsu.edu/~fchen/
,,,,Jianhua Chen,http://csc.lsu.edu/~jianhua/jianhua.html
,,,,Rajgopal Kannan,http://csc.lsu.edu/~rkannan/
,,,,Robert Kooima,http://www.cse.lsu.edu/people/faculty/facstaff/robert.kooima
,,,,Sukhamay Kundu,http://csc.lsu.edu/~kundu/
,,,,Kisung Lee,http://www.cse.lsu.edu/people/faculty/facstaff/kisung.lee
,,,,Anas Mahmoud,http://www.cse.lsu.edu/people/faculty/facstaff/anas.mahmoud
,,,,Supratik Mukhopadhyay,http://www.cse.lsu.edu/people/faculty/facstaff/supratik.mukhopadhyay
,,,,Jay (Seung-Jong) Park,http://www.csc.lsu.edu/~sjpark/
,,,,Rahul Shah,http://csc.lsu.edu/~rahul/
,,,,Mingxuan Sun,http://csc.lsu.edu/~msun/
